Product,Price,Link
LISM GTX750Ti 2GB 128Bit GDDR5 Graphic Card Video Card GPU DirectX 12 PCI Express2.0 x16 DVI/VGA/HDMI,$139,https://www.newegg.com/p/1FT-00FX-00011?Description=GPU&cm_re=GPU-_-9SIB601GR94815-_-Product
"SENKAUTO Mining Power Supply 1800W Bitcoin Ethereum Miner Hardware, Supports 8 GPUs Mining Rig Active PFC Circuit 110V (100~264v) AC to DC Full 150A PSU GPU BTC for Mining Crypto Coins",$159,https://www.newegg.com/p/1HU-033N-00001?Item=9SIARTCGFY3212&Description=GPU&cm_re=GPU-_-9SIARTCGFY3212-_-Product&cm_sp=SP-_-841390-_-0-_-2-_-9SIARTCGFY3212-_-GPU-_-gpu-_-3
"Yeston Nvidia GeForce GTX 1050 Ti Graphics Card(FAST SHIPPING 7-9 DAYS), 4GB 128-Bit GDDR5 PCI Express 3.0 x16 , DVI-D/HDMI/DP Tri-Ports, G-Sync, GPU Boost, DirectX 12, Gaming GPU, Desktop Video Card",$279,https://www.newegg.com/yeston-geforce-gtx-1050-ti-gtx1050ti-4g/p/27N-0042-00041?Description=GPU&cm_re=GPU-_-27N-0042-00041-_-Product
"GPNE Mining Rig Frame Case Miner 8 GPU Machine System & Platform with Barebone Motherboard, CPU, RAM, 4 Cooling Fans for Crypto Coin Currency Bitcoin ETH/ETC/ZEC (PSU & GPU is not Included)",$629,https://www.newegg.com/p/2AM-05EH-00001?Item=9SIAE86GPC4377&Description=GPU&cm_re=GPU-_-9SIAE86GPC4377-_-Product&cm_sp=SP-_-932018-_-0-_-2-_-9SIAE86GPC4377-_-GPU-_-gpu-_-4
"DAYLEAD Mining Rig Case 8 GPU Mining Case Support 8 Cooling Fans(4 Preinstalled) and Mining Motherboard (Without GPU, PSU) for BTC/ETH/ZEC GPU Mining Rig",$679,https://www.newegg.com/p/2AM-05EK-00002?Item=9SIATYVGMK5756&Description=GPU&cm_re=GPU-_-9SIATYVGMK5756-_-Product&cm_sp=SP-_-625857-_-0-_-2-_-9SIATYVGMK5756-_-GPU-_-gpu-_-5
"GPNE Mining Rig Frame Case with Motherboard, CPU, 4G RAM, 4x 120mm Fans, Support 8pcs Adjustable Speed Fans & GPU Crypto Miner Machine System for Currency ETH/ETC/ZEC (PSU & GPU is not Included)",$685,https://www.newegg.com/p/2AM-05EH-00002?Item=9SIAE86H757838&Description=GPU&cm_re=GPU-_-9SIAE86H757838-_-Product&cm_sp=SP-_-932024-_-0-_-2-_-9SIAE86H757838-_-GPU-_-gpu-_-5
"SENKAUTO Mining Rig Case 8 Ports GPU Mining Machine System Mining Motherboard Mining Frame Case with 4 Cooling Fans, 4GB RMA, CPU(Without GPU/PSU) for Crypto Coin Currency Bit Coin ETH ETC ZEC",$699,https://www.newegg.com/p/2AM-05EJ-00001?Item=9SIARTCGFZ3635&Description=GPU&cm_re=GPU-_-9SIARTCGFZ3635-_-Product&cm_sp=SP-_-841406-_-0-_-2-_-9SIARTCGFZ3635-_-GPU-_-gpu-_-6
"GPU Miner Mining rig Machine System for Mining ETH Ethereum,8 GPU Miner Including 55mm Slots Distance Motherboard, CPU, SSD, RAM,PSU, Case with 4 Cooling Fans(Without GPU)",$959,https://www.newegg.com/p/2AM-04CT-00001?Item=9SIAXZHF494532&Description=GPU&cm_re=GPU-_-9SIAXZHF494532-_-Product&cm_sp=SP-_-932593-_-0-_-2-_-9SIAXZHF494532-_-GPU-_-gpu-_-11
"ASUS TUF Gaming NVIDIA GeForce RTX 3080 V2 OC Edition Graphics Card (PCIe 4.0, 10GB GDDR6X, LHR, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-grade Certification, GPU Tweak II)",$1672,https://www.newegg.com/asus-geforce-rtx-3080-tuf-rtx3080-o10g-v2-gaming/p/N82E16814126525?Description=GPU&cm_re=GPU-_-14-126-525-_-Product
